Date,NO2,CO,O3,PM2.5,SO2, AQI Value,WIND,TEMP,PRESSURE,RH 
01-01-2010,38.16,0.704,0.03348,13.52653061,7.7,54,5.854167,46,1030.041667,65.916667
02-01-2010,37.1,0.88,0.03996,14.95306122,14.7,57,2.970833,44,1028.208333,63.291667
03-01-2010,38.16,0.44,0.02484,15.42857143,21.7,58,3.579167,44.041667,1025.833333,69.625
04-01-2010,26.5,0.44,0.03348,10.8,32.9,47,6.891667,41.75,1031.208333,60.166667
05-01-2010,45.58,0.616,0.03348,15.90408163,34.3,59,2.233333,37.333333,1032.125,59.916667
06-01-2010,42.4,0.792,0.0324,19.70816327,20.3,67,4.2125,44.875,1023.875,80.916667
07-01-2010,37.1,0.44,0.03348,9.36,9.1,39,8.7375,42.26087,1024.916667,71.166667
08-01-2010,23.32,0.264,0.03348,7.68,7.7,32,8.745833,28.125,1034.875,44.375
09-01-2010,41.34,0.528,0.03672,17.80612245,14.7,63,3.554167,30.375,1035.708333,45.5
10-01-2010,40.28,0.528,0.03888,17.33061224,13.3,62,2.066667,33.333333,1038.208333,54.125
11-01-2010,58.69387755,1.232,0.03456,17.33061224,16.1,62,1.55,40.75,1033.5,68.791667
12-01-2010,85.91836735,1.408,0.04212,27.79183673,21.7,85,1.758333,47.458333,1031.291667,66.625
13-01-2010,66.20408163,1.496,0.04212,32.07142857,11.9,93,3.995833,47.458333,1027.833333,77.958333
14-01-2010,41.34,0.264,0.0378,16.37959184,27.3,60,5.1875,53.083333,1020.541667,90.916667
15-01-2010,31.8,0.176,0.03348,10.8,13.3,45,6.8,52.291667,1016.25,85.416667
16-01-2010,26.5,0.264,0.03564,17.33061224,7,62,7.029167,48.708333,1013.541667,85.125
17-01-2010,43.46,1.408,0.03348,14.47755102,43.95918367,61,3.3125,50.791667,1017.5,76.416667
18-01-2010,45.58,1.496,0.04212,14.47755102,7,56,4.120833,56.875,1018.041667,80.75
19-01-2010,33.92,0.264,0.03672,10.08,7,42,5.9125,66.875,1013.583333,81.125
20-01-2010,27.56,0.264,0.027,11.52,16.8,48,5.708333,68.375,1006.541667,88.541667
21-01-2010,53,1.408,0.03996,16.85510204,4.9,61,4.791667,65.208333,1007.166667,57.083333
22-01-2010,51.94,1.672,0.05292,16.85510204,21,61,5.475,61.583333,1009.333333,62.416667
23-01-2010,39.22,0.44,0.03996,17.33061224,7,62,6.1,67.125,1002.833333,71.875
24-01-2010,41.34,0.528,0.0432,5.52,9.8,40,8.3125,58.916667,1007.125,40.416667
25-01-2010,101,0.792,0.04104,13.52653061,30.8,101,1.995833,52.875,1017.125,57.958333
26-01-2010,69.02040816,0.704,0.04752,12.5755102,36,67,3.191667,54.666667,1023.5,53.791667
27-01-2010,46.64,0.44,0.055918367,11.28,36,54,5.447619,56.285714,1023.208333,76.208333
28-01-2010,30.74,0.264,0.04536,8.64,18.9,42,7.791667,60.833333,1019.166667,85.625
29-01-2010,20.14,0.264,0.03672,6.48,4.2,34,9.7875,51.208333,1014.083333,84.333333
30-01-2010,14.84,0.264,0.027,8.4,6.3,35,8.375,35.75,1022.208333,70.958333
31-01-2010,31.8,0.44,0.02808,18.28163265,16.1,64,3.6125,37.333333,1025.5,74.125
01-02-2010,34.98,0.528,0.01836,27.31632653,14,83,3.329167,43.333333,1020.833333,85.375
02-02-2010,30.74,0.44,0.03132,17.80612245,32.2,63,3.904167,51.625,1021.083333,81.5
03-02-2010,24.38,0.264,0.027,17.80612245,11.9,63,7.5375,50.041667,1018.416667,80.375
04-02-2010,39.22,0.44,0.0324,10.8,16.8,45,5.716667,50.458333,1011.625,90.208333
05-02-2010,26.5,0.44,0.02592,6.72,2.1,28,6.120833,50.833333,1013.958333,79.875
06-02-2010,39.22,0.616,0.03672,7.68,13.3,37,3.845833,50.458333,1018.791667,66.625
07-02-2010,22.26,0.44,0.03996,13.05102041,44.75510204,62,5.816667,46.666667,1018.375,74.875
08-02-2010,34.98,0.264,0.0432,12.1,32.9,51,9.570833,57,1011.583333,78.208333
09-02-2010,29.68,0.264,0.0378,5.52,11.2,35,9.420833,43.875,1022.958333,50.666667
10-02-2010,55.87755102,0.528,0.03348,13.52653061,16.8,54,2.4375,40.916667,1026.375,52.708333
11-02-2010,39.22,0.528,0.03132,14.00204082,4.9,55,6.075,39.875,1017.583333,87.833333
12-02-2010,21.2,0.264,0.0324,8.4,7,35,6.716667,37.541667,1019.666667,81.916667
13-02-2010,39.22,0.44,0.03348,16.37959184,18.9,60,2.870833,40.458333,1021.208333,78.791667
14-02-2010,42.4,1.32,0.04212,14.00204082,14.7,55,5.616667,50.208333,1017.5,73.75
15-02-2010,45.58,0.264,0.04212,6.72,6.3,43,7.804167,41.833333,1024.958333,40.583333
16-02-2010,68.08163265,0.528,0.04104,8.64,7.7,66,4.079167,44.25,1025.416667,42.958333
17-02-2010,101,0.792,0.0432,11.28,9.8,101,3.683333,46.25,1025.541667,42.5
18-02-2010,57.75510204,1.672,0.04536,18.75714286,48.73469388,67,3.225,47.708333,1024,57.916667
19-02-2010,45.58,0.264,0.04428,11.28,46.34693878,64,4.716667,52.625,1020.333333,73.125
20-02-2010,40.28,0.264,0.04752,13.05102041,32.2,53,5.170833,56.875,1017.75,78.041667
21-02-2010,31.8,0.792,0.03456,12.1,43.16326531,60,4.025,62.791667,1010.416667,85.625
22-02-2010,20.14,0.792,0.03024,6.72,7,28,6.825,49.708333,1012.75,73.291667
23-02-2010,23.32,0.176,0.03132,13.05102041,7.7,53,7.179167,40.708333,1017.333333,79.25
24-02-2010,46.64,0.44,0.04104,8.88,6.3,44,6.345833,42.291667,1023.958333,61.625
25-02-2010,111.5714286,0.968,0.04752,12.5755102,21.7,103,5.345833,46.75,1019.833333,68.5
26-02-2010,43.46,0.44,0.03996,12.5755102,21.7,52,7.966667,53,1015.916667,73.333333
27-02-2010,50.88,0.704,0.04752,11.52,4.9,48,6.258333,50.375,1020.916667,55.958333
28-02-2010,51.94,1.232,0.05292,15.42857143,43.16326531,60,4.991667,52.583333,1016.833333,64.5
01-03-2010,33.92,0.264,0.04212,9.84,16.1,41,6.945833,52.208333,1010.833333,82.708333
02-03-2010,45.58,0.528,0.0432,9.12,11.2,43,8.079167,49.125,1019.958333,55.875
03-03-2010,45.58,0.528,0.05076,15.90408163,42.36734694,59,2.370833,50.25,1021.458333,59.25
04-03-2010,49.82,0.528,0.058061224,16.37959184,7.7,61,3.954167,53.375,1022.75,67.041667
05-03-2010,46.64,0.44,0.057142857,13.05102041,11.9,58,4.520833,53.5,1023.041667,66.916667
06-03-2010,49.82,0.44,0.065102041,15.42857143,18.9,84,4.8375,55.208333,1024.75,58.5
07-03-2010,25.44,0.264,0.058061224,14.95306122,30.8,61,5.5375,57.708333,1022.125,74.375
08-03-2010,39.22,0.264,0.05076,12.5755102,52.71428571,72,7.716667,61,1014.541667,88.208333
09-03-2010,39.22,0.264,0.0378,14.47755102,21.7,56,5.3375,68.916667,1008.458333,78.541667
10-03-2010,30.74,0.264,0.0378,16.85510204,2.8,61,4.829167,68.583333,1003.375,79.541667
11-03-2010,55.87755102,0.44,0.04752,21.13469388,18.2,70,4.0875,66.791667,1005.041667,64.208333
12-03-2010,55.87755102,0.528,0.0486,7.92,6.3,53,7.775,59.708333,1010.875,41.125
13-03-2010,60.57142857,0.88,0.04968,14.00204082,13.3,58,5.1875,60.666667,1011.708333,42.291667
14-03-2010,48.76,1.76,0.059897959,18.28163265,27.3,67,2.975,63.333333,1013.166667,65.208333
15-03-2010,44.52,0.264,0.058061224,12.5755102,20.3,61,4.079167,64.833333,1018.583333,68.916667
16-03-2010,44.52,0.528,0.03024,21.61020408,9.8,71,3.233333,57.083333,1023.5,81.166667
17-03-2010,51.94,0.616,0.04968,14.95306122,7.7,57,4.595833,58,1021.5,62.875
18-03-2010,44.52,0.616,0.055,12.1,14.7,51,3.325,57.916667,1020.166667,48.375
19-03-2010,45.58,0.44,0.058061224,13.52653061,16.1,61,5.529167,60.541667,1015.916667,70.791667
20-03-2010,27.56,0.264,0.0486,6.96,14,45,9.216667,51.416667,1016,75.333333
21-03-2010,20.14,0.176,0.04104,4.8,6.3,38,11.883333,47.666667,1018.208333,40.25
22-03-2010,65.26530612,0.528,0.04752,9.6,11.2,63,4.254167,54.208333,1018.833333,43.166667
23-03-2010,87.79591837,0.88,0.055,13.05102041,14,87,4.579167,59.333333,1016.125,61.666667
24-03-2010,36.04,0.264,0.04212,10.8,23.1,45,4.808333,61.208333,1013.625,89.666667
25-03-2010,43.46,0.264,0.04428,6.72,6.3,41,7.441667,59.666667,1015.75,64.958333
26-03-2010,43.46,0.44,0.062040816,11.76,28,74,2.783333,57.375,1016.875,63.125
27-03-2010,36.04,0.44,0.05184,11.28,32.2,48,5.458333,66.041667,1012.166667,67.875
28-03-2010,38.16,0.264,0.04752,7.92,14,44,7.583333,61,1018.208333,43.916667
29-03-2010,59.63265306,0.528,0.055918367,15.42857143,40.7755102,58,2.554167,58.875,1019.125,52.625
30-03-2010,44.52,0.44,0.062040816,12.1,9.1,74,4.908333,63.041667,1016.958333,61.958333
31-03-2010,47.7,0.264,0.05184,10.8,6.3,48,6.420833,66,1016.458333,70.666667
01-04-2010,27.56,0.176,0.0486,11.76,4.2,49,8.695833,67.5,1014.875,70.625
02-04-2010,19.08,0.264,0.04644,21.61020408,6.3,71,7.2125,69.666667,1011.041667,76.708333
03-04-2010,29.68,0.264,0.069081633,20.18367347,11.9,97,4.245833,73.125,1014.666667,67.208333
04-04-2010,15.9,0.264,0.03456,16.85510204,4.2,61,6.766667,71.333333,1016.75,82.333333
05-04-2010,19.08,0.264,0.03672,13.52653061,6.3,54,6.929167,71.458333,1018.583333,75.291667
06-04-2010,20.14,0.176,0.04104,12.1,6.3,51,8.504167,71.958333,1013.375,70.583333
07-04-2010,20.14,0.176,0.03996,12.1,14,51,5.7875,71.083333,1011.25,70.666667
08-04-2010,49.82,0.528,0.054,7.44,2.8,50,6.504167,59,1018.708333,41.583333
09-04-2010,64.32653061,0.792,0.067857143,12,7.7,93,3.695833,59.666667,1021.458333,55.375
10-04-2010,41.34,0.528,0.058061224,9.36,6.3,61,4.75,61.125,1023.041667,74.583333
11-04-2010,32.86,0.44,0.065102041,10.8,11.9,84,3.895833,64.958333,1022.541667,71.75
12-04-2010,45.58,0.528,0.065102041,14.47755102,7.7,84,5.108333,66.333333,1021.291667,66.416667
13-04-2010,41.34,0.264,0.058979592,12.5755102,20.3,64,6.6625,68.125,1020.416667,69.708333
14-04-2010,34.98,0.264,0.04536,12.5755102,28,52,6.25,69,1022.083333,74.5
15-04-2010,23.32,0.176,0.04752,11.76,14,49,7.575,70.416667,1021.958333,74.166667
16-04-2010,21.2,0.264,0.055,15.90408163,7,59,6.220833,70.708333,1020.083333,72.916667
17-04-2010,25.44,0.264,0.063877551,18.28163265,16.8,80,3.958333,69.875,1015.875,72.958333
18-04-2010,19.08,0.264,0.04752,15.42857143,16.8,58,3.491667,67.125,1014.833333,83.583333
19-04-2010,29.68,0.44,0.03456,17.33061224,14,62,3.4625,62.083333,1016.458333,84.083333
20-04-2010,42.4,0.528,0.058979592,15.90408163,18.2,64,2.708333,65.791667,1015.625,67.041667
21-04-2010,59.63265306,0.88,0.078142857,21.13469388,4.9,126,3.345833,68.25,1013,70.458333
22-04-2010,42.4,0.264,0.05076,12.5755102,7.7,52,5.9375,69.666667,1009.291667,75.833333
23-04-2010,19.08,0.44,0.03564,17.33061224,2.8,62,6.504167,76,1003.75,79.041667
24-04-2010,44.52,0.44,0.055918367,10.8,7.7,54,6.758333,74.666667,1004.916667,45.916667
25-04-2010,45.58,0.528,0.054,9.36,7,50,6.154167,71.083333,1009.041667,42.791667
26-04-2010,63.3877551,0.792,0.067857143,13.52653061,32.9,93,3.175,71.833333,1010.5,50.208333
27-04-2010,56.81632653,0.44,0.05292,11.04,20.3,54,4.016667,66.541667,1015.833333,49.416667
28-04-2010,54,0.528,0.079,14.00204082,28.7,129,4.270833,67.25,1015.708333,53.541667
29-04-2010,29.68,0.264,0.05184,12.1,4.2,51,8.154167,72.666667,1008.833333,71.875
30-04-2010,16.96,0.44,0.03348,17.80612245,4.2,63,7.266667,75.583333,1001.958333,86.791667
01-05-2010,18.02,0.264,0.04104,24.46326531,4.9,77,6.008333,78.833333,1000.666667,75.416667
02-05-2010,51.94,0.528,0.074142857,10.56,20.3,112,4.008333,75.875,1007.25,45.083333
03-05-2010,77.46938776,0.792,0.096857143,14.00204082,20.3,179,3.2375,76.625,1013.541667,41.166667
04-05-2010,53,0.528,0.094918367,10.32,11.2,174,3.045833,73.125,1015.291667,45
05-05-2010,58.69387755,0.44,0.084142857,14.47755102,11.2,147,3.629167,76.833333,1013.041667,51.458333
06-05-2010,29.68,0.264,0.072142857,13.52653061,2.8,105,5.158333,75.083333,1013.291667,67.666667
07-05-2010,14.84,0.264,0.04212,22.56122449,2.8,73,5.616667,79.916667,1013.125,69.083333
08-05-2010,20.14,0.264,0.04968,13.52653061,11.9,54,5.35,74.875,1020.791667,58.666667
09-05-2010,18.02,0.264,0.05184,13.52653061,16.1,54,6.404167,71.833333,1020.541667,64
10-05-2010,16.96,0.264,0.03456,14.95306122,2.1,57,9.083333,77.958333,1015.166667,67.708333
11-05-2010,18.02,0.264,0.04428,17.33061224,4.9,62,8.091667,80.291667,1013.416667,66.125
12-05-2010,14.84,0.264,0.04212,16.37959184,4.9,60,9.445833,79.666667,1013.416667,68.208333
13-05-2010,12.72,0.264,0.03456,14.95306122,13.3,57,7.675,78.916667,1016.541667,71.75
14-05-2010,16.96,0.264,0.03456,14.47755102,7,56,7.025,76.583333,1018.583333,76.791667
15-05-2010,29.68,0.44,0.02808,8.4,7,35,2.583333,71,1016.583333,88.625
16-05-2010,26.5,0.44,0.059897959,12.5755102,9.8,67,2.258333,76.208333,1015.291667,73.791667
17-05-2010,49.82,0.528,0.067857143,15.90408163,6.3,93,3.008333,77.708333,1016.25,72.25
18-05-2010,32.86,0.264,0.075,14.00204082,21.7,115,2.820833,76.875,1014.208333,69.916667
19-05-2010,22.26,0.264,0.03888,9.36,6.3,39,5.65,79.791667,1010.708333,69.416667
20-05-2010,13.78,0.176,0.02592,7.92,4.2,42,5.9375,81.125,1010.875,67.416667
21-05-2010,20.14,0.176,0.03348,7.92,6.3,33,4.458333,81.458333,1014.208333,70.416667
22-05-2010,15.9,0.176,0.027,7.2,6.3,30,6.383333,81.625,1013.958333,70.625
23-05-2010,7.42,0.176,0.03456,16.37959184,7,60,6.870833,81.958333,1014.208333,69.041667
24-05-2010,25.44,0.264,0.04752,11.76,2.1,49,6.125,81.291667,1014.041667,66.25
25-05-2010,27.56,0.264,0.05292,11.52,2.8,49,4.5125,80.5,1014.291667,69.291667
26-05-2010,47.7,0.44,0.091040816,15.90408163,21,164,1.879167,81.208333,1015.291667,58.708333
27-05-2010,43.46,0.44,0.083,19.23265306,36,143,2.2,81.541667,1014.625,58
28-05-2010,49.82,0.528,0.085,18.28163265,9.1,150,2.270833,82.875,1012.041667,58.875
29-05-2010,44.52,0.44,0.084142857,21.13469388,7.7,147,2.008333,83,1009.041667,59.125
30-05-2010,19.08,0.44,0.072142857,17.33061224,14.7,105,3.779167,82,1010.416667,61.833333
31-05-2010,14.84,0.44,0.065102041,14.95306122,21,84,2.929167,81.75,1014.166667,66.958333
01-06-2010,33.92,0.264,0.065102041,14.00204082,4.9,84,3.508333,82.208333,1013.708333,65
02-06-2010,29.68,0.264,0.04104,11.52,6.3,48,3.2125,80.458333,1009.375,74.083333
03-06-2010,27.56,0.264,0.04428,7.44,2.8,41,4.108333,73.125,1005.75,84.375
04-06-2010,32.86,0.264,0.058979592,11.76,36.79591837,64,5.083333,79,1008,71.458333
05-06-2010,25.44,0.44,0.05184,15.90408163,9.8,59,4.220833,82.833333,1010.291667,69.625
06-06-2010,30.74,0.44,0.04752,25.88979592,2.8,80,3.016667,83.75,1013.125,73.458333
07-06-2010,29.68,0.528,0.03564,14.95306122,27.3,57,2.504167,81.208333,1015.083333,80.791667
08-06-2010,31.8,0.264,0.03888,21.13469388,14,70,3.516667,79.041667,1015.125,81.5
09-06-2010,14.84,0.264,0.03024,29.21836735,0.7,87,6.3375,84.666667,1014.375,70.5
10-06-2010,13.78,0.176,0.027,25.88979592,0.7,80,6.545833,84.125,1013.041667,70.791667
11-06-2010,12.72,0.176,0.02376,19.70816327,2.1,67,6.616667,84.458333,1014,70.375
12-06-2010,10.6,0.44,0.0216,9.12,0.7,38,7.1125,85.25,1016.666667,69.625
13-06-2010,8.48,0.44,0.02376,13.05102041,2.1,53,5.679167,85.541667,1016.833333,66.458333
14-06-2010,10.6,0.264,0.02808,11.52,0.7,48,4.829167,84.791667,1014.666667,67.791667
15-06-2010,18.02,0.264,0.0378,12.5755102,0.7,52,3.016667,83.75,1015.833333,68.625
16-06-2010,18.02,0.264,0.04212,11.52,0.7,48,3.454167,85.125,1017.666667,65.708333
17-06-2010,14.84,0.264,0.02808,13.05102041,0.7,53,4.195833,85.625,1017.083333,63.375
18-06-2010,13.78,0.176,0.03348,10.8,0.7,45,4.675,85.375,1016.75,66.625
19-06-2010,13.78,0.176,0.04104,9.12,0.7,38,3.691667,85.5,1017.625,64.958333
20-06-2010,11.66,0.264,0.04968,9.84,2.1,46,2.829167,85.791667,1016.583333,62.708333
21-06-2010,14.84,0.44,0.062959184,13.05102041,0.7,77,2.870833,86.125,1015.916667,62.958333
22-06-2010,31.8,0.44,0.061122449,13.05102041,4.9,71,2.670833,85.333333,1016.666667,64.375
23-06-2010,31.8,0.44,0.04752,13.05102041,2.1,53,2.9875,83.083333,1017.375,72.25
24-06-2010,24.38,0.44,0.054,9.36,2.1,50,2.825,81.541667,1018.041667,73.333333
25-06-2010,30.74,0.616,0.0432,10.56,11.2,44,2.275,81.958333,1016.833333,75.291667
26-06-2010,18.02,0.44,0.04644,7.92,6.3,43,3.4375,84.666667,1014.208333,66
27-06-2010,14.84,0.264,0.04428,8.4,0.7,41,3.675,85.416667,1010.916667,65.458333
28-06-2010,25.44,0.44,0.03672,9.6,2.8,40,2.1375,82.916667,1010.666667,76.208333
29-06-2010,22.26,0.44,0.04104,7.44,7.7,38,5.0125,82.166667,1012.25,76.625
30-06-2010,15.9,0.264,0.02268,8.16,4.9,34,7.5625,79.833333,1013.416667,81
